Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,
Circle (Diameter),2.951479393,85.97893532,1.93854076,,,
Circle (Diameter),2.545679212,91.87010519,1.800349811,,,
Circle (Diameter),2.709197436,103.089883,1.857271469,,,
Circle (Diameter),1.844171299,93.89973792,1.532341941,,,
Circle (Diameter),2.310861149,85.56218058,1.715307494,,,
Circle (Diameter),3.303755592,85.51445619,2.050968616,,,
Circle (Diameter),2.518966325,89.84995311,1.790878984,,,
Circle (Diameter),3.073946195,100.0845427,1.978350286,,,
Circle (Diameter),2.913374246,100.6568116,1.925986318,,,
Circle (Diameter),2.015349836,90.19086351,1.601881115,,,
Circle (Diameter),3.179226397,95.74379053,2.011943531,,,
Circle (Diameter),2.612854266,121.8484604,1.823948841,,,
Circle (Diameter),3.672629135,113.1151163,2.162437663,,,
Circle (Diameter),5.092438724,99.99797957,2.546349223,,,
Circle (Diameter),2.132022299,113.1189597,1.647596765,,,
Circle (Diameter),3.270855528,92.00928441,2.040730899,,,
Circle (Diameter),2.647129257,87.63569152,1.835872994,,,
Circle (Diameter),3.282935253,77.26850264,2.044495778,,,
Circle (Diameter),4.747528212,77.39356982,2.45860543,,,
Circle (Diameter),2.634460278,78.87929267,1.831474544,,,
Circle (Diameter),1.870687768,93.58117915,1.543319034,,,
Circle (Diameter),3.111756716,86.35920402,1.99048027,,,
Circle (Diameter),4.195691034,85.63924561,2.311302607,,,
Circle (Diameter),2.91170469,82.19637206,1.925434381,,,
Circle (Diameter),3.670075697,83.48517859,2.161685803,,,
Circle (Diameter),2.027822398,83.97167202,1.606830317,,,
Circle (Diameter),2.512975567,80.69407924,1.788748128,,,
Circle (Diameter),4.159746487,90.71711897,2.30138083,,,
Circle (Diameter),3.14681738,87.21060357,2.001662391,,,
Circle (Diameter),3.295211396,78.80964909,2.048314785,,,
Circle (Diameter),3.780757402,93.01740582,2.194039615,,,
Circle (Diameter),2.824200343,82.93197957,1.896281508,,,
Circle (Diameter),3.815327021,98.31244104,2.204047467,,,
Circle (Diameter),2.858377125,89.61116579,1.907720836,,,
Circle (Diameter),3.869440259,77.30262048,2.21962257,,,
