Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,
Circle (Diameter),4.062814063,56.89648378,2.27440883,,,
Circle (Diameter),4.851138858,64.13335659,2.485289084,,,
Circle (Diameter),4.375610185,51.59198289,2.360338942,,,
Circle (Diameter),3.875136389,57.0025839,2.221255702,,,
Circle (Diameter),5.487534109,65.47733766,2.643283078,,,
Circle (Diameter),2.489798209,78.96516356,1.780480143,,,
Circle (Diameter),3.043010315,54.48486862,1.968370155,,,
Circle (Diameter),4.054859122,82.84680331,2.272181107,,,
Circle (Diameter),3.055188249,82.25206186,1.972304869,,,
Circle (Diameter),3.963721037,66.30154178,2.246500917,,,
Circle (Diameter),4.213270471,77.68574179,2.316139585,,,
Circle (Diameter),2.713911475,71.19570979,1.858886605,,,
Circle (Diameter),4.637926808,54.45879094,2.430060044,,,
Circle (Diameter),2.11238047,50.00819672,1.63998974,,,
Circle (Diameter),2.637111925,99.00549494,1.832396023,,,
Circle (Diameter),2.025661796,93.00455126,1.605974067,,,
Circle (Diameter),2.83834246,63.22373995,1.901023372,,,
Circle (Diameter),3.454310209,55.49535422,2.097180097,,,
Circle (Diameter),3.236384119,79.43723937,2.029948828,,,
Circle (Diameter),3.542698438,88.67450582,2.123841742,,,
Circle (Diameter),3.921000059,80.20669829,2.234361728,,,
Circle (Diameter),5.030272336,63.3135106,2.530759107,,,
Circle (Diameter),3.836540196,56.31515739,2.210166214,,,
Circle (Diameter),3.600445414,73.16548227,2.141081381,,,
Circle (Diameter),3.3199601,74.53466856,2.055992336,,,
Circle (Diameter),3.636095334,73.74828836,2.151655262,,,
Circle (Diameter),2.425864057,76.20451281,1.757471493,,,
Circle (Diameter),2.235731155,66.83090232,1.687193325,,,
Circle (Diameter),2.434408252,78.05892396,1.760563789,,,
Circle (Diameter),3.632952641,36.57810079,2.150725219,,,
Circle (Diameter),3.142692596,68.63804165,2.000350092,,,
Circle (Diameter),4.453686454,64.68676344,2.381304204,,,
Circle (Diameter),2.806522697,42.54605553,1.890337452,,,
Circle (Diameter),3.680976912,51.67804236,2.164893847,,,
Circle (Diameter),3.778112265,44.24301684,2.193271971,,,
Circle (Diameter),2.314027399,48.32745812,1.716482214,,,
Circle (Diameter),3.716808218,56.67241641,2.175405067,,,
Circle (Diameter),1.703791699,50.35698755,1.472866242,,,
Circle (Diameter),3.139027601,47.21899405,1.999183352,,,
Circle (Diameter),2.110882619,55.28904503,1.639408194,,,
Circle (Diameter),1.772307986,74.55346711,1.502189273,,,
Circle (Diameter),3.035251471,52.34314525,1.965859151,,,
Circle (Diameter),2.835312131,57.26325615,1.900008297,,,
Circle (Diameter),2.146142463,58.22613618,1.653043693,,,
Circle (Diameter),4.258928312,45.72700093,2.328655394,,,
Circle (Diameter),1.505354909,49.74957271,1.384441187,,,
Circle (Diameter),1.40899136,74.4405917,1.339396699,,,
Circle (Diameter),3.221667859,55.11178279,2.025328348,,,
Circle (Diameter),3.407583398,43.06235551,2.082947415,,,
Circle (Diameter),3.899117637,50.17719106,2.228118212,,,
Circle (Diameter),1.683857867,51.30591054,1.464224854,,,
Circle (Diameter),3.750866022,44.05228405,2.185349159,,,
Circle (Diameter),3.647490572,54.38978561,2.155024184,,,
Circle (Diameter),1.21055457,61.39623164,1.24150149,,,
Circle (Diameter),2.52628765,59.93075964,1.793479673,,,
Circle (Diameter),2.064003055,46.65012515,1.621101573,,,
Circle (Diameter),1.866367625,50.65760837,1.541535944,,,
Circle (Diameter),5.322542748,56.06133384,2.603242575,,,
Circle (Diameter),4.247545462,58.54490208,2.32554141,,,
Circle (Diameter),4.032467437,68.10862879,2.265898719,,,
Circle (Diameter),3.705627407,54.44806932,2.172130602,,,
Circle (Diameter),4.638614272,46.24210603,2.430240137,,,
Circle (Diameter),4.17555816,52.35190434,2.305750587,,,
Circle (Diameter),1.849572802,57.84836712,1.534584384,,,
Circle (Diameter),1.617111759,65.52404747,1.43491137,,,
Circle (Diameter),2.814674056,48.17592593,1.893080641,,,
Circle (Diameter),3.024252369,63.13815692,1.962293992,,,
Circle (Diameter),2.84177978,60.72758621,1.902174123,,,
Circle (Diameter),3.44380183,72.79570877,2.093987745,,,
Circle (Diameter),2.673743935,55.58882907,1.845078999,,,
Circle (Diameter),1.924899215,81.90315434,1.565521575,,,
Circle (Diameter),1.579301239,90.68862361,1.418036949,,,
Circle (Diameter),1.742328417,72.02755956,1.489429905,,,
Circle (Diameter),1.434049915,92.76002192,1.351254625,,,
Circle (Diameter),2.210098568,47.27376891,1.677493635,,,
